image_name,lr_path,hr_path,scale,rmse,psnr,ssim,width_lr,height_lr,width_hr,height_hr,match_keypoints
P1140388,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/P1140388_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/P1140388_x2.png,x2,0.019475648,32.08084806818629,0.8707926703077833,2392,1744,4784,3488,3157
P1140090,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/P1140090_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/P1140090_x2.png,x2,0.004471721,27.89078078696504,0.8509415907086636,2392,1744,4784,3488,4105
P1140134,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/P1140134_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/P1140134_x2.png,x2,0.0032668505,25.935305769364003,0.8363074653875032,2392,1544,4784,3088,4903
sony_49,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/sony_49_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/sony_49_x2.png,x2,0.01736267,29.850133694766615,0.8639590342804296,2800,1800,5600,3600,3123
panasonic_16,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/panasonic_16_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/panasonic_16_x2.png,x2,0.022460887,34.241247704287964,0.9539731439369638,2392,1744,4784,3488,969
P1140189,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/P1140189_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/P1140189_x2.png,x2,0.0062518814,29.830942067930838,0.8539793538936177,2392,1744,4784,3488,4633
DSC_1245,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/DSC_1245_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/DSC_1245_x2.png,x2,0.0106286835,34.08705508685544,0.9208800526034993,2800,1800,5600,3600,4783
DSC_1603,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/DSC_1603_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/DSC_1603_x2.png,x2,0.0046434863,27.47338073612333,0.8270862675604217,2800,1800,5600,3600,17363
sony_11,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/sony_11_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/sony_11_x2.png,x2,0.010031434,33.6689297409628,0.9284966691330657,2800,1800,5600,3600,1630
P1160566,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_LR/P1160566_x1.png,/home/rojas/datasets/real-world-super-resolution/Test_x2/test_HR/P1160566_x2.png,x2,0.03545587,30.314162298401488,0.928065510343946,2392,1744,4784,3488,3400
